Cals_per100grams,KJ_per100grams
62,260
48,202
92,386
88,370
54,227
178,748
53,223
107,449
81,340
50,210
73,307
37,155
76,319
71,298
65,273
73,307
71,298
81,340
62,260
54,227
35,147
60,252
58,244
91,382
53,223
114,479
92,386
61,256
243,1021
70,294
52,218
68,286
48,202
160,672
89,374
43,181
50,210
57,239
34,143
50,210
47,197
46,193
56,235
101,424
282,1184
74,311
50,210
69,290
41,172
68,286
95,399
79,332
61,256
29,122
30,126
66,277
53,223
60,252
64,269
43,181
44,185
115,483
47,197
43,181
97,407
39,164
57,239
127,533
49,206
50,210
122,512
46,193
83,349
57,239
299,1256
82,344
52,218
21,88
31,130
32,134
239,1004
53,223
30,126
32,134
42,176
160,672
89,374
103,433
34,143
28,118
75,315
60,252
147,617
55,231
23,97
42,176
68,286
36,151
95,399
61,256
71,298
66,277
53,223
60,252
73,307
97,407
165,693
34,143
53,223
97,407
50,210
42,176
122,512
83,349
38,160
41,172
82,344
83,349
66,277
31,130
239,1004
30,126
61,256
93,391
87,365
160,672
127,533
124,521
124,521
82,344
312,1310
312,1310
133,559
87,365
424,1781
89,374
89,374
154,647
77,323
124,521
185,777
132,554
268,1126
143,601
331,1390
522,2192
167,701
123,517
132,554
72,302
89,374
89,374
149,626
93,391
138,580
97,407
67,281
92,386
94,395
116,487
82,344
47,197
25,105
20,84
25,105
43,181
20,84
115,483
34,143
43,181
25,105
27,113
41,172
25,105
16,67
19,80
100,420
72,302
16,67
30,126
32,134
365,1533
17,71
74,311
16,67
25,105
17,71
31,130
149,626
14,59
14,59
31,130
115,483
32,134
48,202
49,206
27,113
86,361
61,256
15,63
22,92
27,113
35,147
33,139
115,483
40,168
75,315
81,340
27,113
77,323
26,109
16,67
31,130
38,160
72,302
23,97
45,189
86,361
18,76
20,84
28,118
109,458
34,143
17,71
210,882
208,874
234,983
234,983
212,890
200,840
223,937
333,1399
255,1071
239,1004
249,1046
301,1264
259,1088
269,1130
231,970
234,983
241,1012
263,1105
163,685
147,617
302,1268
296,1243
141,592
241,1012
138,580
324,1361
172,722
311,1306
267,1121
250,1050
335,1407
282,1184
195,819
273,1147
312,1310
88,370
241,1012
254,1067
269,1130
183,769
132,554
256,1075
263,1105
297,1247
282,1184
275,1155
251,1054
252,1058
225,945
265,1113
308,1294
265,1113
161,676
306,1285
411,1726
158,664
219,920
131,550
271,1138
86,361
104,437
181,760
138,580
390,1638
304,1277
261,1096
225,945
321,1348
231,970
256,1075
256,1075
227,953
234,983
224,941
304,1277
246,1033
252,1058
235,987
231,970
260,1092
267,1121
234,983
265,1113
224,941
221,928
219,920
226,949
115,483
275,1155
249,1046
212,890
202,848
169,710
255,1071
228,958
255,1071
248,1042
247,1037
248,1042
192,806
255,1071
246,1033
245,1029
209,878
241,1012
242,1016
234,983
255,1071
253,1063
261,1096
254,1067
256,1075
256,1075
231,970
246,1033
148,622
410,1722
392,1646
333,1399
353,1483
334,1403
300,1260
403,1693
228,958
290,1218
276,1159
387,1625
394,1655
394,1655
98,412
393,1651
357,1499
357,1499
264,1109
389,1634
280,1176
466,1957
364,1529
350,1470
356,1495
431,1810
350,1470
413,1735
321,1348
371,1558
397,1667
352,1478
344,1445
320,1344
373,1567
373,1567
280,1176
368,1546
253,1063
431,1810
387,1625
351,1474
357,1499
174,731
387,1625
369,1550
364,1529
268,1126
393,1651
250,1050
380,1596
403,1693
389,1634
342,1436
98,412
342,1436
342,1436
342,1436
342,1436
364,1529
48,202
450,1890
303,1273
342,1436
342,1436
342,1436
342,1436
342,1436
342,1436
342,1436
17,71
62,260
225,945
230,966
195,819
321,1348
98,412
242,1016
393,1651
98,412
122,512
135,567
69,290
89,374
55,231
52,218
75,315
61,256
61,256
496,2083
145,609
49,206
118,496
50,210
67,281
35,147
181,760
45,189
321,1348
117,491
257,1079
61,256
61,256
148,622
410,1722
418,1756
388,1630
403,1693
357,1499
356,1495
394,1655
394,1655
246,1033
357,1499
357,1499
357,1499
357,1499
322,1352
388,1630
280,1176
356,1495
356,1495
371,1558
321,1348
284,1193
284,1193
344,1445
373,1567
280,1176
368,1546
100,420
148,622
410,1722
340,1428
148,622
403,1693
356,1495
74,311
100,420
97,407
85,357
42,176
109,458
105,441
97,407
128,538
124,521
90,378
54,227
97,407
53,223
63,265
100,420
75,315
97,407
61,256
80,336
56,235
139,584
100,420
101,424
61,256
119,500
90,378
100,420
100,420
100,420
100,420
100,420
100,420
100,420
100,420
100,420
100,420
100,420
100,420
100,420
171,718
137,575
189,794
123,517
133,559
213,895
271,1138
247,1037
404,1697
196,823
182,764
854,3587
902,3788
319,1340
94,395
141,592
137,575
207,869
194,815
241,1012
250,1050
212,890
143,601
247,1037
217,911
187,785
171,718
205,861
191,802
117,491
221,928
282,1184
282,1184
